year,ppm,temperature,coal,oil,gas,cement,flaring,other,fossil_total,landuse_sink,landuse_emission,landuse_balance,bio_sink,ocean_sink,atmosphere_growth,res_gas_min,res_gas_max,res_gas_avrg,res_coal_min,res_coal_max,res_coal_avrg,res_oil_min,res_oil_max,res_oil_avrg,res_fossil_min,res_fossil_max,res_fossil_avrg,res_soil_min,res_soil_max,res_soil_avrg,res_veg_min,res_veg_max,res_ver_avrg,res_bio_min,res_bio_max,res_bio_avrg,res_ocean,res_atmosphere,res_permafrost
1949,314.68,-0.02,1.22,0.25,0.08,0.00,0.01,0.01,1.57,1.57,3.14,1.57,0.28,0.56,1.17,421.62,1173.62,797.62,552.95,647.95,600.45,279.04,370.04,324.54,1253.61,2191.61,1722.61,1429.17,2329.17,1879.17,430.02,630.02,530.02,1859.19,2959.19,2409.19,40372.04,437.84,1700.00
1948,321.28,-0.06,1.21,0.25,0.08,0.00,0.01,0.01,1.56,1.55,3.13,1.58,0.28,0.57,1.15,421.70,1173.70,797.70,554.16,649.16,601.66,279.28,370.28,324.78,1255.14,2193.14,1724.14,1428.95,2328.95,1878.95,429.96,629.96,529.96,1858.91,2958.91,2408.91,40371.47,436.70,1700.00
1947,321.37,-0.11,1.20,0.25,0.08,0.00,0.01,0.01,1.55,1.54,3.12,1.58,0.29,0.57,1.12,421.78,1173.78,797.78,555.36,650.36,602.86,279.53,370.53,325.03,1256.67,2194.67,1725.67,1428.73,2328.73,1878.73,429.90,629.90,529.90,1858.63,2958.63,2408.63,40370.90,435.58,1700.00
1946,319.44,-0.20,1.18,0.25,0.08,0.00,0.01,0.01,1.54,1.52,3.11,1.59,0.29,0.57,1.09,421.86,1173.86,797.86,556.54,651.54,604.04,279.78,370.78,325.28,1258.18,2196.18,1727.18,1428.50,2328.50,1878.50,429.83,629.83,529.83,1858.34,2958.34,2408.34,40370.34,434.49,1700.00
1945,318.73,0.05,1.17,0.25,0.08,0.00,0.01,0.01,1.52,1.50,3.10,1.60,0.29,0.57,1.06,421.95,1173.95,797.95,557.71,652.71,605.21,280.02,371.02,325.52,1259.69,2197.69,1728.69,1428.28,2328.28,1878.28,429.77,629.77,529.77,1858.05,2958.05,2408.05,40369.76,433.43,1700.00
1944,318.11,0.03,1.16,0.25,0.08,0.00,0.01,0.01,1.51,1.48,3.09,1.61,0.29,0.57,1.03,422.03,1174.03,798.03,558.87,653.87,606.37,280.27,371.27,325.77,1261.17,2199.17,1730.17,1428.05,2328.05,1878.05,429.71,629.71,529.71,1857.76,2957.76,2407.76,40369.19,432.39,1700.00
1943,317.21,0.06,1.15,0.25,0.08,0.00,0.01,0.01,1.50,1.47,3.08,1.61,0.30,0.58,1.01,422.11,1174.11,798.11,560.02,655.02,607.52,280.52,371.52,326.02,1262.65,2200.65,1731.65,1427.82,2327.82,1877.82,429.64,629.64,529.64,1857.46,2957.46,2407.46,40368.62,431.39,1700.00
1942,317.28,-0.04,1.13,0.25,0.08,0.00,0.01,0.01,1.48,1.45,3.07,1.62,0.30,0.58,0.98,422.19,1174.19,798.19,561.15,656.15,608.65,280.77,371.77,326.27,1264.11,2202.11,1733.11,1427.59,2327.59,1877.59,429.58,629.58,529.58,1857.16,2957.16,2407.16,40368.04,430.41,1700.00
1941,316.21,0.04,1.12,0.25,0.08,0.00,0.01,0.01,1.47,1.43,3.06,1.63,0.30,0.58,0.95,422.27,1174.27,798.27,562.27,657.27,609.77,281.01,372.01,326.51,1265.56,2203.56,1734.56,1427.35,2327.35,1877.35,429.51,629.51,529.51,1856.86,2956.86,2406.86,40367.46,429.45,1700.00
1940,315.60,-0.10,1.11,0.25,0.08,0.00,0.01,0.01,1.46,1.42,3.05,1.63,0.30,0.58,0.93,422.36,1174.36,798.36,563.38,658.38,610.88,281.26,372.26,326.76,1266.99,2204.99,1735.99,1427.12,2327.12,1877.12,429.44,629.44,529.44,1856.56,2956.56,2406.56,40366.88,428.53,1700.00
1939,314.69,-0.01,1.09,0.25,0.08,0.00,0.01,0.01,1.45,1.40,3.04,1.64,0.31,0.58,0.90,422.44,1174.44,798.44,564.47,659.47,611.97,281.51,372.51,327.01,1268.42,2206.42,1737.42,1426.88,2326.88,1876.88,429.38,629.38,529.38,1856.25,2956.25,2406.25,40366.30,427.63,1700.00
1938,321.46,-0.07,1.08,0.25,0.08,0.00,0.01,0.01,1.43,1.38,3.03,1.65,0.31,0.58,0.87,422.52,1174.52,798.52,565.55,660.55,613.05,281.75,372.75,327.25,1269.83,2207.83,1738.83,1426.64,2326.64,1876.64,429.31,629.31,529.31,1855.95,2955.95,2405.95,40365.71,426.75,1700.00
1937,321.56,0.44,1.07,0.25,0.08,0.00,0.01,0.01,1.42,1.37,3.02,1.65,0.31,0.59,0.85,422.60,1174.60,798.60,566.62,661.62,614.12,282.00,373.00,327.50,1271.23,2209.23,1740.23,1426.40,2326.40,1876.40,429.24,629.24,529.24,1855.64,2955.64,2405.64,40365.12,425.90,1700.00
1936,319.45,0.59,1.06,0.25,0.08,0.00,0.01,0.01,1.41,1.35,3.01,1.66,0.31,0.59,0.82,422.69,1174.69,798.69,567.68,662.68,615.18,282.25,373.25,327.75,1272.61,2210.61,1741.61,1426.15,2326.15,1876.15,429.17,629.17,529.17,1855.32,2955.32,2405.32,40364.54,425.08,1700.00
1935,318.15,-0.10,1.04,0.25,0.08,0.00,0.01,0.01,1.39,1.33,3.00,1.67,0.32,0.59,0.80,422.77,1174.77,798.77,568.72,663.72,616.22,282.49,373.49,327.99,1273.98,2211.98,1742.98,1425.91,2325.91,1875.91,429.10,629.10,529.10,1855.01,2955.01,2405.01,40363.94,424.28,1700.00
1934,318.18,0.11,1.03,0.25,0.08,0.00,0.01,0.01,1.38,1.32,2.99,1.67,0.32,0.59,0.77,422.85,1174.85,798.85,569.75,664.75,617.25,282.74,373.74,328.24,1275.34,2213.34,1744.34,1425.66,2325.66,1875.66,429.03,629.03,529.03,1854.69,2954.69,2404.69,40363.35,423.51,1700.00
1933,317.34,0.13,1.02,0.25,0.08,0.00,0.01,0.01,1.37,1.30,2.98,1.68,0.32,0.59,0.75,422.93,1174.93,798.93,570.77,665.77,618.27,282.99,373.99,328.49,1276.69,2214.69,1745.69,1425.41,2325.41,1875.41,428.96,628.96,528.96,1854.37,2954.37,2404.37,40362.76,422.76,1700.00
1932,317.41,-0.08,1.00,0.25,0.08,0.00,0.01,0.01,1.36,1.28,2.97,1.69,0.32,0.60,0.72,423.01,1175.01,799.01,571.77,666.77,619.27,283.24,374.24,328.74,1278.02,2216.02,1747.02,1425.16,2325.16,1875.16,428.89,628.89,528.89,1854.05,2954.05,2404.05,40362.16,422.04,1700.00
1931,316.22,-0.02,0.99,0.25,0.08,0.00,0.01,0.01,1.34,1.27,2.96,1.69,0.32,0.60,0.70,423.10,1175.10,799.10,572.76,667.76,620.26,283.48,374.48,328.98,1279.34,2217.34,1748.34,1424.90,2324.90,1874.90,428.82,628.82,528.82,1853.72,2953.72,2403.72,40361.56,421.35,1700.00
1930,315.61,-0.06,0.98,0.25,0.08,0.00,0.01,0.01,1.33,1.25,2.95,1.70,0.33,0.60,0.67,423.18,1175.18,799.18,573.74,668.74,621.24,283.73,374.73,329.23,1280.65,2218.65,1749.65,1424.65,2324.65,1874.65,428.75,628.75,528.75,1853.40,2953.40,2403.40,40360.96,420.67,1700.00
1929,314.70,-0.11,0.97,0.25,0.08,0.00,0.01,0.01,1.32,1.23,2.94,1.71,0.33,0.60,0.65,423.26,1175.26,799.26,574.70,669.70,622.20,283.98,374.98,329.48,1281.94,2219.94,1750.94,1424.39,2324.39,1874.39,428.67,628.67,528.67,1853.07,2953.07,2403.07,40360.36,420.02,1700.00
1928,321.65,-0.20,0.95,0.25,0.08,0.00,0.01,0.01,1.30,1.22,2.93,1.71,0.33,0.60,0.62,423.34,1175.34,799.34,575.66,670.66,623.16,284.22,375.22,329.72,1283.22,2221.22,1752.22,1424.13,2324.13,1874.13,428.60,628.60,528.60,1852.73,2952.73,2402.73,40359.76,419.40,1700.00
1927,321.74,0.05,0.94,0.25,0.08,0.00,0.01,0.01,1.29,1.20,2.92,1.72,0.33,0.61,0.60,423.42,1175.42,799.42,576.60,671.60,624.10,284.47,375.47,329.97,1284.49,2222.49,1753.49,1423.87,2323.87,1873.87,428.53,628.53,528.53,1852.40,2952.40,2402.40,40359.15,418.80,1700.00
1926,319.46,0.03,0.93,0.25,0.08,0.00,0.01,0.01,1.28,1.18,2.91,1.73,0.34,0.61,0.58,423.51,1175.51,799.51,577.52,672.52,625.02,284.72,375.72,330.22,1285.75,2223.75,1754.75,1423.61,2323.61,1873.61,428.45,628.45,528.45,1852.06,2952.06,2402.06,40358.54,418.22,1700.00
1925,318.22,0.06,0.91,0.25,0.08,0.00,0.01,0.01,1.26,1.17,2.90,1.74,0.34,0.61,0.55,423.59,1175.59,799.59,578.44,673.44,625.94,284.96,375.96,330.46,1286.99,2224.99,1755.99,1423.34,2323.34,1873.34,428.38,628.38,528.38,1851.72,2951.72,2401.72,40357.94,417.67,1700.00
1924,318.25,-0.05,0.90,0.25,0.08,0.00,0.01,0.01,1.25,1.15,2.89,1.74,0.34,0.61,0.53,423.67,1175.67,799.67,579.34,674.34,626.84,285.21,376.21,330.71,1288.22,2226.22,1757.22,1423.08,2323.08,1873.08,428.30,628.30,528.30,1851.38,2951.38,2401.38,40357.32,417.14,1700.00
1923,317.48,0.05,0.89,0.25,0.08,0.00,0.01,0.01,1.24,1.13,2.88,1.75,0.34,0.61,0.51,423.75,1175.75,799.75,580.23,675.23,627.73,285.46,376.46,330.96,1289.44,2227.44,1758.44,1422.81,2322.81,1872.81,428.23,628.23,528.23,1851.04,2951.04,2401.04,40356.71,416.63,1700.00
1922,317.55,-0.10,0.88,0.25,0.08,0.00,0.01,0.01,1.23,1.12,2.87,1.76,0.35,0.61,0.49,423.84,1175.84,799.84,581.10,676.10,628.60,285.71,376.71,331.21,1290.64,2228.64,1759.64,1422.54,2322.54,1872.54,428.15,628.15,528.15,1850.69,2950.69,2400.69,40356.10,416.14,1700.00
1921,316.23,-0.01,0.86,0.25,0.08,0.00,0.01,0.01,1.21,1.10,2.86,1.76,0.35,0.62,0.46,423.92,1175.92,799.92,581.96,676.96,629.46,285.95,376.95,331.45,1291.83,2229.83,1760.83,1422.27,2322.27,1872.27,428.08,628.08,528.08,1850.34,2950.34,2400.34,40355.48,415.68,1700.00
1920,315.62,-0.07,0.85,0.25,0.08,0.00,0.01,0.01,1.20,1.08,2.85,1.77,0.35,0.62,0.44,424.00,1176.00,800.00,582.81,677.81,630.31,286.20,377.20,331.70,1293.01,2231.01,1762.01,1422.00,2322.00,1872.00,428.00,628.00,528.00,1849.99,2949.99,2399.99,40354.86,415.24,1700.00
1919,314.71,0.74,0.84,0.25,0.08,0.00,0.01,0.01,1.19,1.07,2.84,1.78,0.35,0.62,0.42,424.08,1176.08,800.08,583.65,678.65,631.15,286.45,377.45,331.95,1294.18,2232.18,1763.18,1421.72,2321.72,1871.72,427.92,627.92,527.92,1849.64,2949.64,2399.64,40354.24,414.82,1700.00
1918,321.83,0.89,0.82,0.25,0.08,0.00,0.01,0.01,1.17,1.05,2.83,1.78,0.35,0.62,0.40,424.16,1176.16,800.16,584.47,679.47,631.97,286.69,377.69,332.19,1295.33,2233.33,1764.33,1421.44,2321.44,1871.44,427.84,627.84,527.84,1849.29,2949.29,2399.29,40353.62,414.42,1700.00
1917,321.93,-0.11,0.81,0.25,0.08,0.00,0.01,0.01,1.16,1.03,2.82,1.79,0.36,0.62,0.37,424.25,1176.25,800.25,585.28,680.28,632.78,286.94,377.94,332.44,1296.47,2234.47,1765.47,1421.16,2321.16,1871.16,427.76,627.76,527.76,1848.93,2948.93,2398.93,40353.00,414.05,1700.00
1916,319.47,0.15,0.80,0.25,0.08,0.00,0.01,0.01,1.15,1.02,2.81,1.80,0.36,0.62,0.35,424.33,1176.33,800.33,586.08,681.08,633.58,287.19,378.19,332.69,1297.60,2235.60,1766.60,1420.88,2320.88,1870.88,427.69,627.69,527.69,1848.57,2948.57,2398.57,40352.38,413.70,1700.00
1915,318.29,0.17,0.78,0.25,0.08,0.00,0.01,0.01,1.14,1.00,2.80,1.80,0.36,0.63,0.33,424.41,1176.41,800.41,586.87,681.87,634.37,287.43,378.43,332.93,1298.71,2236.71,1767.71,1420.60,2320.60,1870.60,427.61,627.61,527.61,1848.21,2948.21,2398.21,40351.75,413.36,1700.00
1914,318.33,-0.08,0.77,0.25,0.08,0.00,0.01,0.01,1.12,0.98,2.79,1.81,0.36,0.63,0.31,424.49,1176.49,800.49,587.64,682.64,635.14,287.68,378.68,333.18,1299.81,2237.81,1768.81,1420.32,2320.32,1870.32,427.53,627.53,527.53,1847.84,2947.84,2397.84,40351.12,413.05,1700.00
1913,317.62,-0.02,0.76,0.25,0.08,0.00,0.01,0.01,1.11,0.97,2.78,1.82,0.37,0.63,0.29,424.57,1176.57,800.57,588.40,683.40,635.90,287.93,378.93,333.43,1300.90,2238.90,1769.90,1420.03,2320.03,1870.03,427.45,627.45,527.45,1847.48,2947.48,2397.48,40350.49,412.76,1700.00
1912,317.69,-0.06,0.75,0.25,0.08,0.00,0.01,0.01,1.10,0.95,2.77,1.82,0.37,0.63,0.27,424.66,1176.66,800.66,589.14,684.14,636.64,288.18,379.18,333.68,1301.97,2239.97,1770.97,1419.75,2319.75,1869.75,427.36,627.36,527.36,1847.11,2947.11,2397.11,40349.86,412.49,1700.00
1911,316.24,-0.11,0.73,0.25,0.08,0.00,0.01,0.01,1.08,0.93,2.76,1.83,0.37,0.63,0.25,424.74,1176.74,800.74,589.88,684.88,637.38,288.42,379.42,333.92,1303.04,2241.04,1772.04,1419.46,2319.46,1869.46,427.28,627.28,527.28,1846.74,2946.74,2396.74,40349.23,412.25,1700.00
1910,315.63,-0.20,0.72,0.25,0.08,0.00,0.01,0.01,1.07,0.92,2.75,1.84,0.37,0.63,0.23,424.82,1176.82,800.82,590.60,685.60,638.10,288.67,379.67,334.17,1304.09,2242.09,1773.09,1419.17,2319.17,1869.17,427.20,627.20,527.20,1846.37,2946.37,2396.37,40348.59,412.02,1700.00
1909,314.72,0.05,0.71,0.25,0.08,0.00,0.01,0.01,1.06,0.90,2.74,1.84,0.37,0.64,0.21,424.90,1176.90,800.90,591.30,686.30,638.80,288.92,379.92,334.42,1305.12,2243.12,1774.12,1418.87,2318.87,1868.87,427.12,627.12,527.12,1845.99,2945.99,2395.99,40347.96,411.81,1700.00
1908,321.10,0.03,0.69,0.25,0.08,0.00,0.01,0.01,1.05,0.88,2.73,1.85,0.38,0.64,0.19,424.99,1176.99,800.99,592.00,687.00,639.50,289.16,380.16,334.66,1306.15,2244.15,1775.15,1418.58,2318.58,1868.58,427.04,627.04,527.04,1845.62,2945.62,2395.62,40347.32,411.62,1700.00
1907,321.11,0.06,0.68,0.25,0.08,0.00,0.01,0.01,1.03,0.87,2.72,1.86,0.38,0.64,0.17,425.07,1177.07,801.07,592.68,687.68,640.18,289.41,380.41,334.91,1307.16,2245.16,1776.16,1418.29,2318.29,1868.29,426.95,626.95,526.95,1845.24,2945.24,2395.24,40346.68,411.45,1700.00
1906,319.48,-0.06,0.67,0.25,0.08,0.00,0.01,0.01,1.02,0.85,2.71,1.87,0.38,0.64,0.15,425.15,1177.15,801.15,593.35,688.35,640.85,289.66,380.66,335.16,1308.16,2246.16,1777.16,1417.99,2317.99,1867.99,426.87,626.87,526.87,1844.86,2944.86,2394.86,40346.04,411.30,1700.00
1905,318.36,0.06,0.66,0.25,0.08,0.00,0.01,0.01,1.01,0.83,2.70,1.87,0.38,0.64,0.13,425.23,1177.23,801.23,594.01,689.01,641.51,289.90,380.90,335.40,1309.14,2247.14,1778.14,1417.69,2317.69,1867.69,426.78,626.78,526.78,1844.47,2944.47,2394.47,40345.40,411.17,1700.00
1904,318.40,-0.10,0.64,0.25,0.08,0.00,0.01,0.01,0.99,0.82,2.69,1.88,0.39,0.64,0.11,425.31,1177.31,801.31,594.65,689.65,642.15,290.15,381.15,335.65,1310.11,2248.11,1779.11,1417.39,2317.39,1867.39,426.70,626.70,526.70,1844.09,2944.09,2394.09,40344.76,411.06,1700.00
1903,317.76,-0.01,0.63,0.25,0.08,0.00,0.01,0.01,0.98,0.80,2.68,1.89,0.39,0.65,0.09,425.40,1177.40,801.40,595.28,690.28,642.78,290.40,381.40,335.90,1311.07,2249.07,1780.07,1417.09,2317.09,1867.09,426.61,626.61,526.61,1843.70,2943.70,2393.70,40344.11,410.97,1700.00
1902,317.83,-0.07,0.62,0.25,0.08,0.00,0.01,0.01,0.97,0.78,2.68,1.89,0.39,0.65,0.09,425.48,1177.48,801.48,595.90,690.90,643.40,290.65,381.65,336.15,1312.02,2250.02,1781.02,1416.78,2316.78,1866.78,426.53,626.53,526.53,1843.31,2943.31,2393.31,40343.46,410.88,1700.00
1901,316.25,0.10,0.60,0.25,0.08,0.00,0.01,0.01,0.96,0.77,2.67,1.90,0.39,0.65,0.09,425.56,1177.56,801.56,596.50,691.50,644.00,290.89,381.89,336.39,1312.95,2250.95,1781.95,1416.48,2316.48,1866.48,426.44,626.44,526.44,1842.92,2942.92,2392.92,40342.82,410.79,1700.00
1900,315.64,0.12,0.59,0.25,0.08,0.00,0.01,0.01,0.94,0.75,2.66,1.91,0.39,0.65,0.09,425.64,1177.64,801.64,597.09,692.09,644.59,291.14,382.14,336.64,1313.87,2251.87,1782.87,1416.17,2316.17,1866.17,426.36,626.36,526.36,1842.53,2942.53,2392.53,40342.17,410.70,1700.00
1899,314.73,-0.12,0.58,0.25,0.08,0.00,0.01,0.01,0.93,0.73,2.65,1.91,0.40,0.65,0.09,425.72,1177.72,801.72,597.67,692.67,645.17,291.39,382.39,336.89,1314.78,2252.78,1783.78,1415.86,2315.86,1865.86,426.27,626.27,526.27,1842.13,2942.13,2392.13,40341.52,410.61,1700.00
1898,321.12,0.19,0.57,0.25,0.08,0.00,0.01,0.01,0.92,0.72,2.64,1.92,0.40,0.65,0.09,425.81,1177.81,801.81,598.24,693.24,645.74,291.63,382.63,337.13,1315.68,2253.68,1784.68,1415.55,2315.55,1865.55,426.18,626.18,526.18,1841.74,2941.74,2391.74,40340.86,410.52,1700.00
1897,321.13,0.21,0.55,0.25,0.08,0.00,0.01,0.01,0.90,0.70,2.63,1.93,0.40,0.65,0.09,425.89,1177.89,801.89,598.79,693.79,646.29,291.88,382.88,337.38,1316.56,2254.56,1785.56,1415.24,2315.24,1865.24,426.09,626.09,526.09,1841.34,2941.34,2391.34,40340.21,410.43,1700.00
1896,319.49,-0.08,0.54,0.25,0.08,0.00,0.01,0.01,0.89,0.68,2.62,1.93,0.40,0.66,0.09,425.97,1177.97,801.97,599.33,694.33,646.83,292.13,383.13,337.63,1317.43,2255.43,1786.43,1414.93,2314.93,1864.93,426.01,626.01,526.01,1840.94,2940.94,2390.94,40339.55,410.34,1700.00
1895,318.43,-0.02,0.53,0.25,0.08,0.00,0.01,0.01,0.88,0.67,2.61,1.94,0.40,0.66,0.09,426.05,1178.05,802.05,599.86,694.86,647.36,292.37,383.37,337.87,1318.29,2256.29,1787.29,1414.62,2314.62,1864.62,425.92,625.92,525.92,1840.53,2940.53,2390.53,40338.90,410.25,1700.00
1894,318.47,-0.06,0.51,0.25,0.08,0.00,0.01,0.01,0.87,0.65,2.60,1.95,0.41,0.66,0.09,426.14,1178.14,802.14,600.37,695.37,647.87,292.62,383.62,338.12,1319.13,2257.13,1788.13,1414.30,2314.30,1864.30,425.83,625.83,525.83,1840.13,2940.13,2390.13,40338.24,410.17,1700.00
1893,317.90,-0.11,0.50,0.25,0.08,0.00,0.01,0.01,0.85,0.63,2.59,1.95,0.41,0.66,0.09,426.22,1178.22,802.22,600.87,695.87,648.37,292.87,383.87,338.37,1319.96,2257.96,1788.96,1413.98,2313.98,1863.98,425.74,625.74,525.74,1839.72,2939.72,2389.72,40337.58,410.08,1700.00
1892,317.97,-0.20,0.49,0.25,0.08,0.00,0.01,0.01,0.84,0.62,2.58,1.96,0.41,0.66,0.09,426.30,1178.30,802.30,601.36,696.36,648.86,293.12,384.12,338.62,1320.78,2258.78,1789.78,1413.66,2313.66,1863.66,425.65,625.65,525.65,1839.31,2939.31,2389.31,40336.92,409.99,1700.00
1891,316.26,0.05,0.48,0.25,0.08,0.00,0.01,0.01,0.83,0.60,2.57,1.97,0.41,0.66,0.09,426.38,1178.38,802.38,601.84,696.84,649.34,293.36,384.36,338.86,1321.58,2259.58,1790.58,1413.34,2313.34,1863.34,425.56,625.56,525.56,1838.90,2938.90,2388.90,40336.26,409.91,1700.00
1890,315.65,0.03,0.46,0.25,0.08,0.00,0.01,0.01,0.81,0.58,2.56,1.97,0.41,0.66,0.09,426.46,1178.46,802.46,602.30,697.30,649.80,293.61,384.61,339.11,1322.37,2260.37,1791.37,1413.02,2313.02,1863.02,425.47,625.47,525.47,1838.49,2938.49,2388.49,40335.59,409.82,1700.00
1889,314.74,0.06,0.45,0.24,0.08,0.00,0.01,0.01,0.79,0.57,2.55,1.98,0.41,0.66,0.08,426.55,1178.55,802.55,602.75,697.75,650.25,293.85,384.85,339.35,1323.15,2261.15,1792.15,1412.70,2312.70,1862.70,425.38,625.38,525.38,1838.07,2938.07,2388.07,40334.93,409.74,1700.00
1888,321.14,-0.07,0.44,0.23,0.08,0.00,0.01,0.01,0.77,0.55,2.54,1.99,0.41,0.66,0.08,426.63,1178.63,802.63,603.19,698.19,650.69,294.08,385.08,339.58,1323.90,2261.90,1792.90,1412.38,2312.38,1862.38,425.29,625.29,525.29,1837.66,2937.66,2387.66,40334.27,409.65,1700.00
1887,321.15,0.07,0.42,0.23,0.08,0.00,0.01,0.01,0.75,0.53,2.53,2.00,0.42,0.66,0.08,426.71,1178.71,802.71,603.61,698.61,651.11,294.31,385.31,339.81,1324.63,2262.63,1793.63,1412.05,2312.05,1862.05,425.19,625.19,525.19,1837.25,2937.25,2387.25,40333.60,409.57,1700.00
1886,319.50,-0.10,0.41,0.22,0.08,0.00,0.01,0.01,0.73,0.51,2.52,2.00,0.42,0.66,0.08,426.79,1178.79,802.79,604.02,699.02,651.52,294.53,385.53,340.03,1325.34,2263.34,1794.34,1411.73,2311.73,1861.73,425.10,625.10,525.10,1836.83,2936.83,2386.83,40332.94,409.49,1700.00
1885,318.51,-0.01,0.40,0.21,0.08,0.00,0.01,0.01,0.71,0.50,2.51,2.01,0.42,0.66,0.08,426.87,1178.87,802.87,604.42,699.42,651.92,294.74,385.74,340.24,1326.04,2264.04,1795.04,1411.40,2311.40,1861.40,425.01,625.01,525.01,1836.41,2936.41,2386.41,40332.28,409.40,1700.00
1884,318.54,-0.07,0.39,0.20,0.08,0.00,0.01,0.01,0.69,0.48,2.50,2.02,0.42,0.66,0.08,426.96,1178.96,802.96,604.81,699.81,652.31,294.94,385.94,340.44,1326.71,2264.71,1795.71,1411.08,2311.08,1861.08,424.92,624.92,524.92,1836.00,2936.00,2386.00,40331.62,409.32,1700.00
1883,317.10,0.13,0.37,0.20,0.08,0.00,0.01,0.01,0.67,0.46,2.49,2.02,0.42,0.66,0.08,427.04,1179.04,803.04,605.18,700.18,652.68,295.14,386.14,340.64,1327.36,2265.36,1796.36,1410.75,2310.75,1860.75,424.83,624.83,524.83,1835.58,2935.58,2385.58,40330.96,409.24,1700.00
1882,317.11,0.15,0.36,0.19,0.08,0.00,0.01,0.01,0.65,0.45,2.48,2.03,0.42,0.66,0.08,427.12,1179.12,803.12,605.54,700.54,653.04,295.33,386.33,340.83,1328.00,2266.00,1797.00,1410.42,2310.42,1860.42,424.73,624.73,524.73,1835.16,2935.16,2385.16,40330.30,409.16,1700.00
1881,316.27,-0.13,0.35,0.18,0.08,0.00,0.01,0.01,0.64,0.43,2.47,2.04,0.42,0.66,0.08,427.20,1179.20,803.20,605.89,700.89,653.39,295.52,386.52,341.02,1328.61,2266.61,1797.61,1410.10,2310.10,1860.10,424.64,624.64,524.64,1834.74,2934.74,2384.74,40329.64,409.08,1700.00
1880,315.66,0.23,0.33,0.18,0.08,0.00,0.01,0.01,0.62,0.41,2.46,2.04,0.42,0.66,0.08,427.29,1179.29,803.29,606.22,701.22,653.72,295.69,386.69,341.19,1329.20,2267.20,1798.20,1409.77,2309.77,1859.77,424.55,624.55,524.55,1834.32,2934.32,2384.32,40328.98,409.00,1700.00
1879,314.75,0.25,0.32,0.17,0.08,0.00,0.01,0.01,0.60,0.40,2.45,2.05,0.42,0.66,0.08,427.37,1179.37,803.37,606.54,701.54,654.04,295.86,386.86,341.36,1329.77,2267.77,1798.77,1409.44,2309.44,1859.44,424.46,624.46,524.46,1833.90,2933.90,2383.90,40328.32,408.92,1700.00
1878,321.16,-0.08,0.31,0.16,0.08,0.00,0.01,0.01,0.58,0.38,2.44,2.06,0.42,0.66,0.08,427.45,1179.45,803.45,606.85,701.85,654.35,296.03,387.03,341.53,1330.33,2268.33,1799.33,1409.11,2309.11,1859.11,424.37,624.37,524.37,1833.48,2933.48,2383.48,40327.66,408.85,1700.00
1877,321.17,-0.02,0.30,0.16,0.08,0.00,0.01,0.01,0.56,0.36,2.43,2.06,0.42,0.66,0.08,427.53,1179.53,803.53,607.15,702.15,654.65,296.18,387.18,341.68,1330.86,2268.86,1799.86,1408.78,2308.78,1858.78,424.27,624.27,524.27,1833.06,2933.06,2383.06,40327.00,408.77,1700.00
1876,319.51,-0.06,0.28,0.15,0.08,0.00,0.01,0.01,0.54,0.35,2.42,2.07,0.42,0.66,0.08,427.61,1179.61,803.61,607.43,702.43,654.93,296.33,387.33,341.83,1331.38,2269.38,1800.38,1408.45,2308.45,1858.45,424.18,624.18,524.18,1832.63,2932.63,2382.63,40326.35,408.69,1700.00
1875,318.58,-0.11,0.27,0.14,0.08,0.00,0.01,0.01,0.52,0.33,2.41,2.08,0.42,0.66,0.08,427.70,1179.70,803.70,607.70,702.70,655.20,296.47,387.47,341.97,1331.87,2269.87,1800.87,1408.12,2308.12,1858.12,424.09,624.09,524.09,1832.21,2932.21,2382.21,40325.69,408.62,1700.00
1874,318.61,-0.20,0.26,0.13,0.08,0.00,0.01,0.01,0.50,0.31,2.40,2.08,0.42,0.66,0.08,427.78,1179.78,803.78,607.96,702.96,655.46,296.61,387.61,342.11,1332.34,2270.34,1801.34,1407.79,2307.79,1857.79,423.99,623.99,523.99,1831.79,2931.79,2381.79,40325.04,408.54,1700.00
1873,317.12,0.05,0.24,0.13,0.08,0.00,0.01,0.01,0.48,0.30,2.39,2.09,0.42,0.65,0.07,427.86,1179.86,803.86,608.20,703.20,655.70,296.74,387.74,342.24,1332.80,2270.80,1801.80,1407.46,2307.46,1857.46,423.90,623.90,523.90,1831.36,2931.36,2381.36,40324.38,408.47,1700.00
1872,317.12,0.03,0.23,0.12,0.07,0.00,0.01,0.01,0.44,0.28,2.38,2.10,0.42,0.65,0.07,427.93,1179.93,803.93,608.43,703.43,655.93,296.86,387.86,342.36,1333.22,2271.22,1802.22,1407.14,2307.14,1857.14,423.81,623.81,523.81,1830.94,2930.94,2380.94,40323.73,408.39,1700.00
1871,316.28,0.06,0.22,0.11,0.06,0.00,0.01,0.01,0.41,0.26,2.37,2.10,0.42,0.65,0.07,427.99,1179.99,803.99,608.65,703.65,656.15,296.97,387.97,342.47,1333.61,2271.61,1802.61,1406.81,2306.81,1856.81,423.71,623.71,523.71,1830.52,2930.52,2380.52,40323.08,408.32,1700.00
1870,315.67,-0.08,0.21,0.11,0.05,0.00,0.01,0.01,0.38,0.25,2.36,2.11,0.42,0.64,0.07,428.03,1180.03,804.03,608.85,703.85,656.35,297.08,388.08,342.58,1333.97,2271.97,1802.97,1406.48,2306.48,1856.48,423.62,623.62,523.62,1830.10,2930.10,2380.10,40322.44,408.25,1700.00
