year,ppm,temperature,coal,oil,gas,cement,flaring,other,fossil_total,landuse_sink,landuse_emission,landuse_balance,bio_sink,ocean_sink,atmosphere_growth,res_gas_min,res_gas_max,res_gas_avrg,res_coal_min,res_coal_max,res_coal_avrg,res_oil_min,res_oil_max,res_oil_avrg,res_fossil_min,res_fossil_max,res_fossil_avrg,res_soil_min,res_soil_max,res_soil_avrg,res_veg_min,res_veg_max,res_ver_avrg,res_bio_min,res_bio_max,res_bio_avrg,res_ocean,res_atmosphere,res_permafrost
2090,514.31,2.19,7.32,6.02,4.05,0.83,0.17,0.19,18.58,3.93,4.53,0.61,5.66,5.10,9.28,146.56,898.56,522.56,-3.69,91.31,43.81,-206.05,-115.05,-160.55,-63.19,874.81,405.81,1776.27,2676.27,2226.27,527.92,727.92,627.92,2304.20,3404.20,2854.20,40769.44,1163.72,1630.00
2089,512.72,2.17,7.27,5.99,4.02,0.82,0.17,0.19,18.46,3.91,4.52,0.61,5.62,5.07,9.22,150.61,902.61,526.61,3.62,98.62,51.12,-200.03,-109.03,-154.53,-45.80,892.20,423.20,1771.86,2671.86,2221.86,526.68,726.68,626.68,2298.54,3398.54,2848.54,40764.33,1154.44,1631.00
2088,511.13,2.15,7.22,5.95,3.99,0.81,0.17,0.19,18.33,3.89,4.51,0.62,5.59,5.04,9.16,154.63,906.63,530.63,10.89,105.89,58.39,-194.04,-103.04,-148.54,-28.53,909.47,440.47,1767.47,2667.47,2217.47,525.44,725.44,625.44,2292.92,3392.92,2842.92,40759.26,1145.22,1632.00
2087,509.54,2.13,7.17,5.92,3.96,0.81,0.17,0.19,18.21,3.88,4.50,0.63,5.55,5.01,9.10,158.61,910.61,534.61,18.11,113.11,65.61,-188.09,-97.09,-142.59,-11.37,926.63,457.63,1763.11,2663.11,2213.11,524.21,724.21,624.21,2287.33,3387.33,2837.33,40754.22,1136.06,1633.00
2086,507.95,2.11,7.12,5.88,3.93,0.80,0.17,0.19,18.09,3.86,4.49,0.63,5.52,4.97,9.04,162.57,914.57,538.57,25.28,120.28,72.78,-182.18,-91.18,-136.68,5.67,943.67,474.67,1758.78,2658.78,2208.78,522.99,722.99,622.99,2281.77,3381.77,2831.77,40749.21,1126.95,1634.00
2085,506.37,2.09,7.07,5.84,3.90,0.80,0.17,0.19,17.96,3.84,4.49,0.64,5.48,4.94,8.99,166.50,918.50,542.50,32.40,127.40,79.90,-176.30,-85.30,-130.80,22.60,960.60,491.60,1754.48,2654.48,2204.48,521.78,721.78,621.78,2276.25,3376.25,2826.25,40744.24,1117.91,1635.00
2084,504.78,2.08,7.02,5.81,3.87,0.79,0.17,0.18,17.84,3.83,4.48,0.65,5.45,4.91,8.93,170.40,922.40,546.40,39.47,134.47,86.97,-170.45,-79.45,-124.95,39.42,977.42,508.42,1750.20,2650.20,2200.20,520.57,720.57,620.57,2270.77,3370.77,2820.77,40739.30,1108.93,1636.00
2083,503.19,2.06,6.98,5.77,3.84,0.78,0.16,0.18,17.72,3.81,4.47,0.66,5.41,4.88,8.87,174.27,926.27,550.27,46.50,141.50,94.00,-164.65,-73.65,-119.15,56.12,994.12,525.12,1745.95,2645.95,2195.95,519.37,719.37,619.37,2265.32,3365.32,2815.32,40734.39,1100.00,1637.00
2082,501.60,2.04,6.93,5.74,3.81,0.78,0.16,0.18,17.59,3.79,4.46,0.66,5.38,4.85,8.81,178.11,930.11,554.11,53.47,148.47,100.97,-158.88,-67.88,-113.38,72.70,1010.70,541.70,1741.73,2641.73,2191.73,518.18,718.18,618.18,2259.90,3359.90,2809.90,40729.51,1091.13,1638.00
2081,500.01,2.02,6.88,5.70,3.78,0.77,0.16,0.18,17.47,3.78,4.45,0.67,5.34,4.81,8.75,181.92,933.92,557.92,60.40,155.40,107.90,-153.14,-62.14,-107.64,89.18,1027.18,558.18,1737.53,2637.53,2187.53,517.00,717.00,617.00,2254.52,3354.52,2804.52,40724.66,1082.32,1639.00
